Reno,0.01,4.1078
Reno,0.05,3.85256
Reno,0.1,3.45454
Reno,0.5,1.73323
Reno,1,0.680369
Sack,0.01,4.10499
Sack,0.05,3.88335
Sack,0.1,3.82996
Sack,0.5,2.98552
Sack,1,2.08853
FR,0.01,3.50118
FR,0.05,3.85824
FR,0.1,3.64771
FR,0.5,2.49778
FR,1,2.40588
GFR,0.01,3.50118
GFR,0.05,3.86537
GFR,0.1,3.76348
GFR,0.5,2.62134
GFR,1,2.18671
JA-GFR,0.01,3.50118
JA-GFR,0.05,3.85824
JA-GFR,0.1,3.64771
JA-GFR,0.5,2.88527
JA-GFR,1,2.65097
