Reno,1,3.95512
Reno,5,1.1247
Reno,10,1.73323
Reno,20,1.16778
Reno,30,0.791964
Sack,1,5.33135
Sack,5,5.64291
Sack,10,2.98552
Sack,20,1.56228
Sack,30,1.09536
FR,1,16.507
FR,5,5.44623
FR,10,2.49778
FR,20,1.677
FR,30,1.13643
GFR,1,21.1078
GFR,5,4.91398
GFR,10,2.62134
GFR,20,1.63737
GFR,30,1.12781
JA-GFR,1,23.7343
JA-GFR,5,5.06076
JA-GFR,10,2.88527
JA-GFR,20,1.64446
JA-GFR,30,1.15813
